price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city
459990,3,2,2680,5539,2,0,0,3,2680,0,2013,1923,774,27
625000,4,3,2730,54014,1,0,0,3,1560,1170,2007,0,4502,32
300000,3,2,2540,5050,2,0,0,3,2540,0,2006,0,2537,18
625000,4,2,2920,6605,2,0,0,3,2920,0,2012,1912,3615,32
553000,2,1,900,5000,1,0,0,3,900,0,1944,0,4135,35
379880,3,2,1650,14054,1,0,0,4,1130,520,1986,0,685,16
310000,3,1,1010,9945,1,0,0,4,1010,0,1973,0,4012,38
775000,2,2,2680,7392,1,0,0,3,2680,0,2004,2003,663,31
365000,3,2,2200,7350,1,0,0,5,1570,630,1988,0,719,32
331950,4,2,2530,9933,2,0,2,3,2010,520,1990,2009,4398,1
783500,3,2,2850,7130,2,0,0,3,1990,860,1980,0,1007,35
628000,4,2,2280,6010,1,0,0,3,1140,1140,1900,2005,1722,35
560000,3,2,1900,8744,2,0,0,3,1900,0,1987,2000,1895,33
900000,3,1,1330,77972,1,0,0,3,1330,0,1928,1954,752,19
531000,2,3,1270,1175,2,0,0,3,1110,160,2000,0,823,35
831000,4,3,2170,4000,2,0,0,4,1610,560,1982,2011,402,35
780000,4,2,2730,10281,2,0,2,3,2730,0,1996,0,1977,33
755000,4,2,2120,10202,1,0,0,4,1620,500,1960,2001,580,3
705380,3,2,2490,4343,2,0,0,3,2490,0,2003,0,2682,16
627000,4,2,1990,7712,1,0,0,3,1210,780,1973,2013,1533,16
865000,4,3,3690,9892,2,0,0,3,3690,0,1998,2006,1382,33
580000,2,1,2540,7000,1,0,0,5,1320,1220,1942,0,4275,35
410000,3,2,1800,36704,1,0,0,4,1360,440,1978,2000,2123,16
485000,4,3,2340,7048,1,0,0,4,1340,1000,1979,0,882,19
400000,2,1,2110,9519,1,0,0,2,2110,0,1948,0,1786,36
549000,2,1,1140,5400,1,0,0,5,1140,0,1908,0,1757,35
620000,3,1,1480,2185,2,0,0,3,1480,0,2005,0,132,19
405000,2,3,1410,1240,2,0,0,3,1140,270,2006,0,4359,35
232000,2,1,1200,8063,1,0,0,4,1200,0,1958,1972,1692,10
800866,5,2,3180,13806,2,0,0,4,3180,0,1990,0,383,19
650000,3,1,2160,9000,1,0,2,4,1400,760,1949,1985,644,35
823000,6,1,2920,5000,2,0,0,4,2780,140,1908,0,542,35
770000,3,2,2350,5700,1,0,0,4,1810,540,1939,1989,1850,35
524000,3,1,1560,5520,1,0,0,4,780,780,1944,0,2851,35
541125,5,2,2740,8426,1,0,0,4,1370,1370,1960,2001,3517,3
670000,3,2,1680,2000,3,0,0,3,1680,0,1909,1998,2880,35
384900,5,2,3090,12750,1,0,0,3,1750,1340,1968,1997,301,14
406100,3,2,1410,1332,3,0,0,3,1410,0,2005,0,4256,35
1395000,5,3,4010,8510,2,0,1,5,2850,1160,1971,0,3058,35
736500,4,2,3180,21904,2,0,3,3,3180,0,2000,0,1317,32
570000,3,2,2010,6000,1,0,0,3,1330,680,1975,0,66,31
787000,3,1,1330,7500,1,0,0,3,1330,0,1961,2004,1854,3
328000,4,2,2370,6500,2,0,0,3,2370,0,1998,2006,571,1
435000,5,2,1840,9240,1,0,0,4,1540,300,1942,1958,800,35
499000,4,2,2910,6479,2,0,0,3,2910,0,2006,0,2823,38
501000,4,1,2070,7519,1,0,0,3,1160,910,1963,2008,2180,3
1090000,4,2,4340,141570,2,0,0,3,4340,0,1992,0,4294,31
400000,2,1,840,5510,1,0,0,3,840,0,1955,2005,3309,35
220000,4,1,1240,9600,1,0,0,3,1240,0,1971,0,3433,14
657100,4,1,1390,4240,1,0,0,3,1050,340,1924,2011,3224,35
309950,4,2,2310,5000,2,0,0,3,2310,0,2006,0,1943,21
300000,3,2,1050,10072,1,0,0,3,1050,0,1986,0,2363,11
525888,5,1,2550,71874,1,0,0,5,1810,740,1960,0,661,16
740000,4,1,2010,3600,1,0,0,3,2010,0,1902,0,51,35
340000,5,1,1120,9022,1,0,0,4,1120,0,1962,0,835,19
398750,3,2,2230,4000,2,0,0,3,2230,0,1954,2005,2263,35
206000,2,1,810,7158,1,0,0,5,810,0,1944,0,603,6
1030000,5,2,3190,16920,1,0,3,3,1690,1500,1976,0,3320,3
600000,3,1,1670,39639,1,0,0,4,1670,0,1976,1992,1419,33
379950,4,1,1970,9389,1,0,0,5,1140,830,1960,0,1278,36
287000,3,1,1450,6000,1,0,0,4,1450,0,1953,1983,4281,35
2280000,7,8,13540,307752,3,0,4,3,9410,4130,1999,0,2310,31
309950,3,2,1880,7838,2,0,0,3,1880,0,1994,0,1385,32
600000,3,1,1880,6360,1,0,0,4,1040,840,1945,0,4127,35
418000,3,2,1410,6030,1,0,0,4,1410,0,1930,0,4328,35
449250,4,2,1480,3844,1,0,0,5,1480,0,1928,1970,3508,35
329950,2,1,1140,5250,1,0,0,4,1140,0,1949,1985,803,35
245000,3,1,1920,9306,1,0,0,3,1000,920,1984,0,2547,1
549000,4,2,2910,6338,2,0,0,3,2910,0,2008,0,1138,32
800000,3,2,3240,7857,2,0,0,3,3240,0,1994,0,1928,33
249950,3,2,1550,15040,1,0,0,4,1550,0,1958,1972,1416,32
210000,5,2,2050,10200,1,0,0,3,1430,620,1956,2001,1760,10
1425000,2,2,2220,4000,2,0,0,3,2220,0,2000,0,1497,35
585000,2,1,1770,8640,1,0,0,3,1520,250,1949,1998,2901,35
615000,4,1,2300,11700,1,0,0,4,1960,340,1977,0,1480,31
618500,3,2,1800,5000,1,0,0,4,1080,720,1942,1982,2435,35
487585,4,1,2010,9211,1,0,0,3,1470,540,1977,2004,696,19
509900,3,2,1790,2700,2,0,0,3,1790,0,2010,0,3328,16
631625,4,2,2440,6651,2,0,0,3,2440,0,2014,0,4402,35
555000,3,2,1940,3211,2,0,0,3,1940,0,2009,0,3304,16
340000,2,1,1160,1438,2,0,0,3,1160,0,2001,0,669,35
830000,4,2,3400,9692,2,0,0,3,3400,0,2007,0,406,31
890000,4,4,4420,5750,2,0,0,3,3410,1010,2006,0,4227,16
366750,3,3,1571,2017,3,0,0,3,1571,0,2008,0,891,35
415000,3,2,1620,998,2,0,0,3,1540,80,2010,0,4421,16
416286,3,2,1408,989,3,0,0,3,1408,0,2005,0,4078,35
478000,3,2,3040,4535,2,0,0,3,3040,0,2007,0,1700,32
890000,5,3,4490,6000,2,0,0,3,3200,1290,2006,0,4092,16
419190,2,2,1590,1426,2,0,0,3,1590,0,2014,0,598,16
712198,4,2,2450,4247,2,0,0,3,2450,0,2013,1923,1313,31
397000,4,2,1440,7680,1,0,0,3,1200,240,1971,0,147,19
450000,2,2,1100,3000,1,0,0,3,1100,0,1912,2005,3144,35
353000,3,1,1350,7740,1,0,0,4,860,490,1947,1988,233,35
609000,4,2,2150,37981,2,0,0,3,2150,0,1985,0,1431,31
234000,3,1,1490,8366,1,0,0,4,1010,480,1975,0,2207,9
561000,3,2,2000,7000,2,0,0,3,2000,0,1916,1986,3769,35
469000,2,1,1030,4400,1,0,0,3,1030,0,1924,2011,2628,35
329350,2,1,720,6687,1,0,0,3,720,0,1942,1999,4469,35
488000,5,2,2020,5000,1,0,0,4,2020,0,1938,0,4333,35
279900,3,1,1580,8151,1,0,1,4,1100,480,1962,0,1184,10
606000,4,2,2110,13850,2,0,0,3,2110,0,1987,2000,2405,16
312000,4,2,1300,7054,1,0,0,3,1300,0,1950,2013,2449,35
650000,3,1,1630,7475,1,0,1,3,1160,470,1940,1996,3677,35
1135000,4,2,3370,8103,1,0,3,3,1970,1400,1970,2014,3054,35
325000,4,2,1890,6156,1,0,0,3,980,910,1980,0,3627,35
425000,4,2,1520,7983,1,0,0,5,1520,0,1967,0,961,15
219000,2,1,900,5160,1,0,0,3,900,0,1952,2008,4279,35
250000,3,1,1050,6874,1,0,0,3,1050,0,1954,2005,1466,36
390000,3,1,1260,6500,1,0,0,4,1260,0,1966,0,833,3
475000,6,3,3470,117612,1,0,0,3,3470,0,1924,2011,1541,17
736000,4,2,2290,12047,2,0,0,4,2290,0,1988,0,1361,3
407000,4,2,2810,23400,1,0,1,3,1710,1100,1958,2004,1957,10
272000,3,2,1650,13816,2,0,0,3,1650,0,1998,2006,2692,7
362000,3,2,1640,14374,1,0,0,4,1140,500,1963,0,1341,6
535000,3,2,1850,10109,2,0,0,3,1850,0,1991,0,4224,19
284000,4,2,2000,5390,2,0,0,3,2000,0,2003,0,2219,18
367500,3,1,1410,9647,1,0,0,3,1410,0,1961,2004,1420,36
379900,4,1,1500,11600,1,0,0,4,1000,500,1955,2009,983,17
520000,3,2,2460,54885,2,0,0,4,2460,0,1980,0,3572,32
175000,3,1,1010,7034,1,0,0,3,1010,0,1954,2005,1744,32
460000,2,2,1230,929,2,0,0,3,1020,210,2004,2003,3,35
345000,4,2,2331,3826,2,0,0,3,2331,0,2007,0,392,32
455000,5,2,2240,7770,1,0,0,3,1340,900,1978,0,577,19
610000,4,3,2450,10117,1,0,0,5,1580,870,1967,0,1076,3
563000,4,3,3100,15480,2,0,0,3,2400,700,1996,0,3984,17
612500,4,2,2060,5000,1,0,0,3,1030,1030,1949,2013,1301,35
218000,3,1,1850,7684,1,0,0,3,1320,530,1979,2014,2819,14
404000,4,1,1840,10720,1,0,0,3,960,880,1958,2004,1133,3
860000,4,2,3740,32417,2,0,0,3,3740,0,2000,0,2125,31
136500,3,1,1420,8580,1,0,0,3,1420,0,1962,2003,2762,14
313950,3,1,1510,6083,1,0,0,4,860,650,1940,2001,3159,35
575000,3,1,2130,6500,1,0,2,3,1170,960,1954,2005,1887,35
1225000,4,2,3490,6906,2,0,0,4,2280,1210,1928,0,2235,35
280000,3,1,1630,11800,1,0,0,4,1630,0,1971,0,554,27
515000,3,2,1790,7167,2,0,0,3,1790,0,1989,0,4370,33
513000,4,2,2000,5684,2,0,0,3,2000,0,1996,0,4344,17
599000,4,2,2260,29930,2,0,0,4,1400,860,1977,0,1136,3
685000,4,2,3030,7864,2,0,0,3,3030,0,1999,0,2090,33
365000,3,1,1310,8160,1,0,0,3,1310,0,1950,2005,764,35
762300,4,2,3880,14550,2,0,0,3,3880,0,1987,2000,1898,33
1580000,4,3,3760,10920,1,0,0,5,2400,1360,1950,0,3633,35
562000,5,2,3040,8111,2,0,0,3,3040,0,1984,0,1381,31
530000,5,2,2910,9636,1,0,0,4,1690,1220,1964,0,2740,3
525000,3,2,2970,11985,1,0,0,3,1770,1200,1995,0,1837,33
484000,2,1,1660,6000,1,0,0,3,1160,500,1942,1999,3377,35
725126,4,2,3200,12369,2,0,0,3,3200,0,1998,2006,934,25
360000,4,2,2680,18768,1,0,0,5,2680,0,1965,0,2668,1
387000,3,1,1230,9568,1,0,0,5,1230,0,1962,0,449,25
483500,4,2,2740,45732,2,0,0,3,2740,0,1995,0,1058,42
655500,4,3,3380,8330,2,0,0,3,3380,0,2000,0,1288,36
345000,3,1,1110,6250,1,0,0,3,1110,0,1956,2001,2727,35
533000,5,2,1800,3780,1,0,0,3,1400,400,1926,2003,3990,35
385000,3,1,1900,5520,1,0,0,3,1280,620,1982,0,3520,35
675000,2,1,930,36478,1,0,2,3,930,0,1951,1994,3178,3
197000,3,1,1690,7735,1,0,0,4,1060,630,1976,1992,2553,1
485000,3,2,1420,4080,1,0,0,3,1420,0,1905,2013,3919,35
1870000,5,4,4510,15175,2,0,0,3,4510,0,1969,2002,4201,23
295000,3,2,1980,8000,1,0,0,4,1560,420,1974,0,2687,14
499000,2,1,1170,2400,1,0,0,4,740,430,1903,0,1780,35
1050000,3,2,2200,1970,2,0,0,3,1610,590,2008,0,2190,35
191000,3,1,800,8850,1,0,0,4,800,0,1959,0,20,14
500000,3,2,1480,1171,3,0,0,3,1480,0,2006,0,727,35
390000,5,3,2890,5000,1,0,0,3,1310,1580,2006,0,2955,35
979000,3,2,2690,4047,3,0,0,3,2690,0,2014,0,3870,35
580000,4,3,3569,8327,2,0,0,3,3569,0,2013,1923,3900,32
369950,3,2,1270,1320,3,0,0,3,1270,0,2006,0,4306,35
1800000,5,5,4490,10279,2,0,0,3,3930,560,2013,1923,890,3
776000,4,2,3040,6425,2,0,0,3,3040,0,2008,0,1254,31
519950,3,2,1170,1249,3,0,0,3,1170,0,2014,0,1367,35
255000,5,2,2060,8632,1,0,0,3,1030,1030,1962,2003,127,6
495000,3,1,990,6000,1,0,0,3,990,0,1943,2002,3626,35
510000,4,2,2430,5203,2,0,0,3,2430,0,2003,0,86,36
1150000,4,4,4460,103382,2,0,0,3,4460,0,2001,0,2250,31
253000,3,1,1250,10122,1,0,0,3,1250,0,1994,0,2225,4
503000,3,2,1540,6760,1,0,0,5,1210,330,1980,0,4462,19
275000,3,2,1600,7000,2,0,0,4,1600,0,1993,0,1798,21
249000,3,1,1110,8423,1,0,0,3,1110,0,1952,2008,927,6
310000,3,1,1840,10723,1,0,0,4,1220,620,1974,0,1602,32
750000,3,2,2520,5401,1,0,0,4,1360,1160,1946,1989,2438,35
630000,3,2,2680,327135,2,0,0,3,2680,0,1995,0,2209,30
599999,9,4,3830,6988,2,0,0,3,2450,1380,1938,2003,4293,35
758000,4,2,2410,9549,1,0,0,4,1780,630,1956,0,157,19
248500,4,1,1720,10018,1,0,0,5,1720,0,1960,0,1233,9
310000,3,1,2070,37904,1,0,0,4,1420,650,1973,0,1631,18
460000,3,2,1760,9055,2,0,0,4,1760,0,1985,0,3444,31
675000,3,1,1680,10500,1,0,0,4,1680,0,1959,0,3068,3
526000,2,2,1550,2400,1,0,0,4,1550,0,1900,1971,3030,35
560000,3,3,4120,60392,2,0,2,3,3180,940,1994,0,2720,7
415000,4,3,1830,9548,2,0,0,3,1830,0,1991,0,1023,5
246000,3,1,1400,7410,1,0,0,3,1400,0,1944,0,3735,6
314500,3,1,1870,12381,1,0,0,4,1870,0,1957,2001,2530,14
3200000,7,4,6210,8856,2,0,2,5,4760,1450,1910,0,499,35
420000,2,1,1040,3500,1,0,0,4,1040,0,1904,0,1316,35
535000,3,1,2720,149410,1,0,0,3,2720,0,1988,2000,2805,7
350000,3,1,1010,9360,1,0,0,3,1010,0,1981,2013,4468,19
515000,3,1,1580,9147,1,0,1,4,1210,370,1967,0,2005,3
749950,4,2,2600,6050,2,0,0,5,1960,640,1949,0,3154,35
230000,3,2,1920,9180,2,0,0,3,1920,0,1988,2000,1732,32
568000,3,2,2350,5080,1,0,0,3,1780,570,1929,0,3598,35
250000,1,1,1100,4373,1,0,0,2,820,280,1947,0,1983,6
581000,4,2,2510,13695,1,0,0,4,1280,1230,1961,2001,250,19
651000,3,2,3240,108366,2,0,0,4,3240,0,1991,0,1503,18
600000,3,2,2460,108900,1,0,0,4,1860,600,1977,0,2230,16
500000,2,1,1010,3885,1,0,0,4,1010,0,1906,1990,2788,35
475000,2,1,820,2723,1,0,0,3,820,0,1921,2000,3345,35
352000,5,2,2420,8560,1,0,2,3,1620,800,1978,0,2980,35
420000,3,2,1770,8165,2,0,0,3,1770,0,1977,2004,621,19
428000,2,2,1350,3900,1,0,0,3,1350,0,2003,0,1994,31
599000,3,1,1960,4788,1,0,0,4,1090,870,1920,0,3739,35
492000,4,2,3305,16164,1,0,0,5,2245,1060,1922,1956,1327,36
630000,2,2,2550,5663,1,0,0,3,1720,830,2011,0,491,32
900000,5,3,4130,226076,2,0,0,3,3170,960,1985,0,605,42
1110000,4,1,2310,13300,1,0,0,3,1890,420,1950,2005,4476,8
575000,4,2,1650,5000,1,0,0,3,1650,0,1955,2005,3821,35
705000,4,2,2650,4316,1,0,0,3,1520,1130,1905,2013,1548,35
940000,4,2,1890,5940,1,0,1,3,1470,420,1963,2008,505,35
313000,3,1,2190,8000,1,0,0,4,2190,0,1967,0,2747,14
618080,3,2,2030,6500,2,0,0,3,2030,0,1988,2000,3270,16
640000,3,3,2270,5175,2,0,0,3,2130,140,2002,0,404,32
485000,3,2,1610,4160,1,0,0,4,1010,600,1917,0,3226,35
300000,2,1,760,3001,1,0,0,3,760,0,1913,1983,1376,35
379500,2,1,1640,17335,1,0,0,3,840,800,1978,0,2776,31
339950,3,2,1630,12295,2,0,0,4,1630,0,1985,0,1615,32
1500000,6,2,3560,6480,2,0,0,4,3560,0,1914,1945,4337,35
1340000,3,3,2960,5500,2,0,2,3,2440,520,1937,1990,2898,35
500000,3,2,1940,37565,1,0,0,4,1940,0,1987,0,1751,16
239900,3,2,1410,7566,1,0,0,3,1410,0,1985,0,395,18
314950,3,1,1040,16986,1,0,0,4,1040,0,1968,0,1458,32
361280,2,1,820,6400,1,0,0,4,820,0,1944,0,3655,35
100000,2,1,910,22000,1,0,0,3,910,0,1956,2001,773,0
540000,7,5,3700,7647,2,0,1,3,3700,0,1948,1984,984,20
480500,4,2,2180,11200,1,0,0,4,2180,0,1968,0,1531,42
280000,3,2,1600,4271,2,0,0,3,1600,0,2000,0,3497,1
440000,3,1,1500,6180,1,0,0,4,1060,440,1947,1988,3022,35
530000,3,1,1340,4284,1,0,0,3,1080,260,1910,2006,3372,35
560000,3,2,1860,13374,1,0,0,3,1860,0,1985,0,40,16
775000,3,2,2540,7200,1,0,3,4,1600,940,1905,0,3505,35
160000,2,1,1040,13100,1,0,0,5,1040,0,1912,0,3960,18
209950,3,1,1380,11130,1,0,0,3,1380,0,1960,2012,2693,14
226500,3,1,1640,10762,1,0,0,3,1130,510,1988,2000,2351,9
380000,5,1,3000,6000,1,0,0,5,1500,1500,1958,0,4243,35
409500,4,2,2140,13000,1,0,0,3,1320,820,1968,1997,1597,17
690000,3,2,1760,6428,1,0,0,4,980,780,1942,1982,1815,35
405000,3,2,1660,8307,1,0,0,4,1660,0,1961,2001,3692,36
375000,3,2,1830,13042,2,0,0,3,1830,0,1990,2009,2215,21
794154,4,2,2210,8556,1,0,1,4,1210,1000,1954,1979,2728,35
185000,4,1,1490,6600,1,0,0,3,1490,0,1969,2010,684,6
245000,3,1,1260,1270,2,0,0,3,1040,220,2005,0,294,35
1532500,5,4,4270,8076,2,0,0,3,3400,870,2007,0,220,19
1040000,4,3,3900,8391,2,0,0,3,3900,0,2006,0,205,19
425000,2,2,1150,1027,3,0,0,3,1150,0,2008,0,2938,35
495000,4,2,2656,21195,2,0,0,3,2656,0,2014,0,2683,1
365000,5,2,2410,5003,1,0,0,3,1410,1000,2008,0,4102,35
417250,3,2,1606,1452,3,0,0,3,1606,0,2009,0,500,35
339950,2,1,820,681,3,0,0,3,820,0,2006,0,3491,35
615000,2,1,1540,6872,1,0,0,4,820,720,1946,1989,2448,35
403000,3,2,2090,8354,2,0,0,3,2090,0,2012,1912,2429,11
980000,5,2,3160,11470,1,0,0,4,1780,1380,1971,0,3976,23
258000,4,1,1730,8320,1,0,0,3,1230,500,1977,2004,2613,14
533000,3,1,1670,4080,1,0,0,3,1170,500,1967,2011,3577,35
537500,4,2,2550,4630,2,0,0,3,2550,0,2005,0,1460,33
830000,5,3,3040,9601,1,0,0,5,1970,1070,1968,0,3512,23
712000,3,1,1250,4620,1,0,0,4,1150,100,1900,1971,2924,35
262000,4,2,2020,6236,2,0,0,3,2020,0,2002,0,3240,0
753888,4,2,2660,5500,2,0,2,3,2660,0,2003,0,1237,16
134000,2,1,980,5000,2,0,0,3,980,0,1922,2003,2018,37
402000,3,2,1960,8000,1,0,0,4,1290,670,1977,0,468,19
205000,2,1,720,5040,1,0,0,3,720,0,1955,2005,4236,35
553650,2,2,1360,1349,2,0,0,3,1050,310,1997,0,3734,35
559950,2,2,1870,4950,1,0,0,3,1870,0,2006,0,2036,31
260000,4,1,2130,8800,1,0,0,3,1100,1030,1962,2003,2114,18
270000,4,2,1810,6509,2,0,0,3,1810,0,1994,0,954,18
295000,2,1,2200,89298,1,0,0,3,1100,1100,1973,2013,2396,16
719000,3,2,1690,4500,1,0,1,4,1690,0,1928,0,3095,35
266000,3,2,1940,8547,1,0,0,3,1460,480,1989,0,2445,18
325900,4,2,2320,6270,2,0,0,3,2320,0,2004,2003,994,18
647500,4,1,2060,26036,1,0,0,4,1160,900,1947,1988,1380,26
1039000,4,1,3410,5000,2,0,0,5,2190,1220,1910,0,2183,35
569000,4,2,2250,41688,2,0,0,3,2250,0,1980,0,3944,31
246000,3,1,1390,7399,1,0,0,4,1390,0,1975,0,398,18
515000,2,1,1060,4960,1,0,0,3,1060,0,1926,2003,4188,35
207000,3,1,1490,8995,1,0,0,4,1490,0,1954,1979,568,35
780000,4,1,2480,9195,1,0,0,3,1390,1090,1950,2005,2550,3
489990,5,2,2440,20828,1,0,0,4,2440,0,1975,0,762,18
335000,3,1,2240,87625,1,0,0,2,1480,760,1980,0,1519,1
295000,3,2,1920,7229,2,0,0,3,1920,0,1993,0,1563,14
385000,3,1,1890,9920,1,0,0,3,1230,660,1944,0,880,35
350000,4,1,2250,13515,1,0,0,4,2150,100,1940,2001,3370,18
235000,2,1,1270,3008,1,0,0,4,650,620,1923,0,3220,35
358000,2,1,960,1808,2,0,0,3,960,0,1993,0,1443,35
716500,4,2,3290,6465,2,0,0,3,3290,0,2002,0,91,33
228000,4,1,2000,6120,1,0,0,3,1100,900,1965,1993,3663,35
405000,2,1,1020,8155,1,0,0,4,1020,0,1948,0,676,35
538000,4,1,1840,9600,1,0,0,3,1220,620,1967,2011,3595,31
530000,3,1,1980,6760,1,0,0,4,1980,0,1973,0,2714,3
1750000,6,3,3510,5760,2,0,0,4,3510,0,1906,1990,4138,35
636000,2,1,1230,3600,1,0,0,5,1230,0,1925,0,2236,35
535000,4,2,2280,65836,2,0,0,3,2280,0,2004,2003,778,42
1500000,3,1,2430,12757,1,0,2,4,1340,1090,1952,0,4493,3
868500,3,2,2920,3942,3,0,0,3,2920,0,2008,0,45,32
530000,4,2,2280,2850,1,0,0,4,1540,740,1930,0,4109,35
450000,3,2,1510,43560,1,0,0,3,1510,0,1954,2005,750,42
230000,3,1,950,6000,1,0,0,3,790,160,1939,1969,511,35
229000,3,2,1190,3000,2,0,0,3,1190,0,2002,0,477,40
437000,3,1,1310,9282,1,0,0,4,1310,0,1976,1992,1314,31
1307000,5,3,2800,3200,1,0,0,5,1910,890,1932,2002,2948,35
595000,3,2,1750,3354,2,0,0,4,1750,0,1991,0,153,19
660000,3,1,1320,5750,1,0,0,5,1320,0,1918,0,1787,35
347500,4,2,2460,7350,2,0,0,3,2460,0,1989,0,2759,14
297950,3,2,1240,10800,1,0,0,3,1240,0,1967,2010,1307,32
245000,3,1,1260,7964,1,0,0,4,1260,0,1955,2009,1255,10
543200,6,2,2820,15600,1,0,2,5,1970,850,1940,0,1062,6
1250000,4,3,3820,24166,2,0,1,4,3310,510,1990,0,4262,23
413450,3,2,1540,1614,3,0,0,3,1470,70,2008,0,4373,35
330000,2,2,1550,435600,1,0,0,2,1550,0,1972,0,2950,38
424500,3,1,1460,7700,1,0,0,3,1460,0,1979,2014,1116,31
230000,3,1,1390,16000,1,0,0,4,1390,0,1960,2001,2712,0
930000,3,3,2640,4080,2,0,0,3,1840,800,1912,2000,3379,35
349000,3,1,1590,9620,1,0,0,3,1590,0,1988,2000,3432,32
835000,4,2,1910,6960,1,0,0,5,1910,0,1941,0,3994,35
988500,3,2,2015,16807,2,1,4,3,2015,0,2007,0,2536,6
